model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.8292682926829268,0.872093023255814,0.8823529411764706,0.8771929824561403,0.855108359133127
Random Forest,0.8130081300813008,0.8522727272727273,0.8823529411764706,0.8670520231213873,0.8164086687306502
Gradient Boosting,0.8048780487804879,0.8210526315789474,0.9176470588235294,0.8666666666666667,0.755108359133127
Decision Tree,0.7723577235772358,0.8518518518518519,0.8117647058823529,0.8313253012048193,0.7479876160990713
